Sample,income,job satisfaction
130,6.950744997,4.169100759
131,3.660876547,3.823898686
132,1.78909178,0.458377574
133,3.540341099,2.576939959
134,4.533395191,2.947531471
135,4.867339442,3.739995796
136,4.056005444,3.571446511
137,5.634643477,4.808150425
138,5.461635882,4.017611208
139,3.186175826,1.839802006
140,4.417665557,3.468573793
141,5.760289224,4.758785492
142,3.716700249,2.391677519
143,2.182561567,0.992917365
144,4.29198369,3.16938024
145,3.410030276,2.089042355
146,3.581097036,1.843675775
147,3.509663093,1.616607435
148,6.660216364,5.949347502
149,6.27178643,4.940227777
150,3.735017626,2.841238677
151,4.39320834,2.944391335
152,3.512216897,3.026918175
153,6.239739633,5.097802509
154,3.681485586,3.036819937
155,7.241312999,4.68281699
156,6.345369732,4.000819183
157,5.939741524,4.570801127
158,2.45932138,2.042739312
159,2.539088891,1.748651124
160,6.708603726,6.064013048
161,6.831322325,5.132401469
162,5.082657925,3.11334209
163,6.030607372,4.821810262
164,6.574595032,4.179521023
165,3.574296929,1.631261107
166,5.529908432,3.822179643
167,2.409381746,1.857541886
168,4.264789552,3.751089281
169,3.530344828,3.158618594
170,6.143149816,4.927132625
171,5.157697377,4.600114757
172,4.710847457,2.408379902
173,6.847515267,4.486703665
174,5.464640093,2.727715712
175,4.176532342,3.020724447
176,3.748093215,3.749180727
177,2.274523114,2.311554237
178,1.576365722,0.987603172
179,1.924133698,1.461144421
180,5.904246043,4.57685653
181,5.189031076,4.767595639
182,1.87986818,0.438171567
183,2.544347646,2.351202468
184,3.221393614,3.453102739
185,7.260374143,5.381398471
186,6.481616962,4.820091247
187,5.688487723,4.658742683
188,6.633618821,5.380070207
189,5.972741351,3.315989476
190,3.897737917,2.799747487
191,6.461243321,4.206754912
192,6.628036302,4.402663195
193,3.118959195,2.769118126
194,4.695963614,2.784244545
195,1.573693715,0.688090581
196,3.670376931,3.47649914
197,7.19440696,5.836196656
198,1.780478658,2.003926093
199,2.142359555,0.971332454
200,3.65648599,2.857614364
201,2.090354141,1.852117711
202,3.363097172,3.515179177
203,2.423143852,2.100552494
204,7.111583642,6.086478284
205,3.039941856,4.083821161
206,2.373232035,1.524782291
207,1.98456369,2.579516515
208,2.628482853,1.619226127
209,7.136759971,5.506621537
210,3.104918354,1.095999271
211,1.558656751,0.968527327
212,7.478446618,4.877725538
213,2.813900047,1.759698667
214,5.744539644,5.032211034
215,6.540988357,5.713802294
216,6.562794132,4.795842867
217,5.470124995,4.660289961
218,2.085130525,2.740395407
219,4.589572497,4.250568064
220,5.074501769,3.941019322
221,7.463509813,4.50344538
222,5.853905763,4.633228732
223,3.764539962,4.030864938
224,7.06279211,6.863387951
225,6.377376426,5.079475899
226,1.920862764,1.625268393
227,7.364213378,6.618279842
228,6.535798861,4.656998572
229,7.300902725,6.004987475
230,3.037231724,2.410635566
231,6.703266827,4.261219972
232,1.927996684,1.065623809
233,4.223553578,2.295700142
234,2.92270632,1.919511103
235,4.427108605,3.581381038
236,2.07056241,0.628942061
237,5.224070229,3.344108372
238,7.161872875,6.160434101
239,2.210696478,2.861274444
240,7.2070597,4.209470573
241,2.184084991,1.226298134
242,4.414998466,4.79332516
243,5.014809669,3.313796516
244,2.60203712,2.152698433
245,2.917048671,2.923683874
246,6.244341635,3.452067233
247,6.859654494,4.258311529
248,2.371230424,3.961032766
249,5.96405759,3.427723163
250,7.153674088,4.720987338
251,2.28989742,1.571949813
252,6.376228033,6.186945609
253,3.540504299,3.552736964
254,3.13982572,1.245785944
255,6.460742301,3.426911652
256,2.641348462,1.877147043
257,2.002213553,1.817889113
258,6.391428135,5.239909498
259,2.763719772,1.384044112
260,6.831257549,3.837977768
261,3.827254525,2.32169769
262,3.770670898,3.31157823
263,3.159854892,3.05738784
264,5.099417157,4.737045954
265,5.610390825,4.590970461
266,1.856371752,0.654242148
267,5.363729581,3.981127739
268,2.336133563,2.336276033
269,4.975851368,4.540636147
270,2.629546775,2.192744863
271,2.646458097,1.788176341
272,3.859892387,2.71943218
273,4.121530621,4.212697339
274,6.38594064,4.477271392
275,3.842709679,2.468859994
276,4.990548538,3.451772538
277,3.400596941,0.686920849
278,3.820115372,2.246745707
279,1.909499153,1.627695089
280,2.858464123,2.453209061
281,7.45150065,4.109944653
282,3.354252107,2.572598203
283,6.707825202,4.810424058
284,6.325906067,4.827416304
285,1.931180677,2.465761128
286,5.128545227,3.757378987
287,4.278209872,3.691348189
288,1.579470288,1.981809911
289,2.907682177,1.410229567
290,5.64471409,3.75430142
291,3.571175436,4.245215597
292,2.345107567,1.437876724
293,5.845197028,4.159887144
294,5.298480408,3.514891782
295,3.434699925,2.714498038
296,1.865995232,1.357373136
297,5.095615491,5.638460387
298,1.530807727,2.421464669
299,1.618311459,1.511205108
300,6.687677218,5.522891668
301,7.347245523,4.396622319
302,5.983845696,3.988452835
303,5.196082373,3.31760678
304,4.193007431,2.779682627
305,2.347687551,0.846505526
306,4.709489378,2.457921707
307,2.30719771,3.509604688
308,2.730768821,2.646904537
309,3.882513505,2.977916724
310,3.574393645,1.424450548
311,4.159576384,1.790342317
312,1.544634333,1.644636603
313,3.383896674,0.73163629
314,3.614745183,2.901788592
315,6.503882324,4.317133158
316,1.848412558,2.09736906
317,4.420311904,4.391592976
318,6.477153237,5.313956903
319,6.561419985,6.281370191
320,7.180907194,5.60796663
321,2.809090781,2.946870435
322,5.68620541,3.872788848
323,4.800343746,2.842868351
324,2.412912159,1.46061633
325,2.92570352,3.752824766
326,3.174175764,3.126603239
327,2.685529629,2.821192645
328,2.124429242,2.734960056
329,2.694022127,2.19759212
330,4.230888794,4.155540864
331,5.350515664,4.078208838
332,5.091579506,4.45696361
333,6.250302214,4.93925896
334,5.324632561,3.730569958
335,2.048497711,2.575054857
336,2.381385245,2.176322145
337,6.919942971,6.236955312
338,2.359507794,0.898732803
339,4.545707462,3.629424387
340,7.310502636,5.923346071
341,1.697463691,0.546190176
342,4.48358582,3.031497066
343,2.07995534,2.847816843
344,4.834397386,4.51696059
345,4.761344479,4.59169701
346,4.270036551,3.157765091
347,5.379795423,4.28799968
348,4.255557225,3.618829789
349,4.216468481,3.20079786
350,5.693725061,3.999703007
351,2.996520703,1.662253199
352,2.849458214,2.391549999
353,3.744973637,3.067609453
354,3.441513288,2.017513588
355,4.28007538,3.64088397
356,1.824455719,0.266043663
357,2.889242002,1.295427294
358,2.169977498,1.853347613
359,6.9768987,5.367236103
360,2.683731229,2.466292344
361,1.651156092,1.723593561
362,4.416320576,4.307288416
363,3.881098692,3.156367436
364,3.784560552,1.690458095
365,6.2672605,5.085523011
366,1.89032676,2.48162387
367,1.762058178,1.353317341
368,6.089162512,5.275294151
369,6.374253863,3.670291526
370,6.392483125,3.69639041
371,3.204316343,2.679887318
372,2.908146911,2.363564669
373,2.349952069,1.438596105
374,7.004398837,5.362448263
375,3.483599117,2.325309226
376,2.517463803,1.529560944
377,5.698451341,4.035727019
378,4.381923282,3.550337184
379,4.77205909,3.554600317
380,5.395016451,4.199728526
381,5.456441309,3.135475154
382,1.788359923,1.145295813
383,3.112592784,3.539854127
384,5.080968448,3.822203964
385,4.851313918,3.835577646
386,6.607472112,5.683750561
387,3.126856179,2.517400876
388,6.562762833,4.324660384
389,2.343075473,2.958696801
390,1.600033017,1.680997133
391,5.248175536,4.253501304
392,3.035461316,2.260395693
393,4.947372147,3.615471053
394,1.574953616,1.502211626
395,5.741724885,3.776484631
396,5.91047527,3.201042435
397,6.195003987,4.058311616
398,5.492589725,4.105224517
399,4.517244574,3.722097639
400,4.311785997,3.822270313
401,4.63374137,3.706660981
402,7.423832498,4.909688469
403,2.507768548,2.155733626
404,5.712586659,5.743736081
405,6.82237691,4.337571452
406,3.367591818,2.58241664
407,6.320191311,4.284305558
408,2.298643365,2.96216821
409,4.699895879,3.990415894
410,7.246754831,5.890148697
411,5.666951153,3.688539518
412,4.087461982,3.217847363
413,3.314556071,2.220470327
414,6.768336228,5.910284878
415,5.40574906,4.853032519
416,3.63228339,3.802973633
417,4.924949687,3.092164648
418,3.699205521,3.233313747
419,6.896929289,5.265478958
420,7.025517695,4.81153338
421,6.475625217,5.368041173
422,1.63938057,1.798718303
423,6.635954116,4.760014333
424,4.604409215,3.415806479
425,7.032057099,5.040174582
426,3.102346043,1.965635933
427,3.044114204,1.871957854
428,6.182899232,5.323507389
429,5.415052928,4.501158336
430,3.860695981,2.435094856
431,5.695338812,4.553216548
432,6.36491894,4.36170927
433,2.099093467,1.478787199
434,3.498967518,2.768523129
435,5.994602282,3.960636371
436,6.840930948,5.915781395
437,5.754940995,3.98019535
438,6.926720969,4.708202988
439,1.623813737,1.416661055
440,5.906358484,4.328417097
441,7.481521381,6.196295546
442,2.607853159,1.945961053
443,1.660650497,0.698459965
444,6.235585355,5.135455316
445,2.965991721,1.560355376
446,6.279265066,4.234991215
447,2.220403863,0.688909231
448,2.070950246,0.685848874
449,2.868418626,1.791753568
450,3.928140904,3.227472173
451,6.835747726,5.15933124
452,3.437164722,3.802970673
453,5.139565218,4.216057592
454,6.004521296,4.932409978
455,3.283166895,2.233440584
456,5.919129259,4.37825945
457,3.910198547,3.483925685
458,2.642098592,2.030297043
459,2.87009,
460,5.720877412,3.596398318
461,3.39991642,3.261182104
462,1.611606313,3.481137767
463,4.78368549,3.393439153
464,4.591489106,4.229663345
465,5.671839739,4.321364297
466,6.052731401,4.400455145
467,4.315794177,3.357597382
468,6.495854763,5.335718004
469,6.546132584,5.588389336
470,4.688219626,2.994204284
471,3.126524031,2.413381753
472,6.781564124,4.98536659
473,7.119505376,4.981981125
474,7.297722283,6.384274497
475,5.873493543,3.26747544
476,1.587315346,1.312758977
477,6.001806863,4.039547986
478,5.723226096,4.425995084
479,5.237893052,3.342749396
480,6.44994534,3.492310186
481,4.172336668,3.751225463
482,6.52277168,5.386559329
483,7.448116557,5.963422086
484,7.225191864,4.985254927
485,3.275334807,2.798160728
486,2.031817764,2.967323268
487,2.840140748,1.228773184
488,6.101564703,3.96172964
489,6.074327799,4.649143652
490,4.243872552,4.754168395
491,5.318575592,2.961956663
492,6.052381321,4.633441055
493,3.154042591,1.294136576
494,2.482381605,0.548365189
495,3.435101751,2.115136485
496,5.249208789,4.56870456
497,3.471798585,2.535002113
498,6.087609623,4.397451275
499,3.440846876,2.070663768
500,4.530545407,3.710192978
